Timestamp,Value

11:29:12.87  ,2:  12692,  65339
11:29:12.88  ,1:  56716,  62684
11:29:13.08  ,2:  13032,   6469
11:29:13.09  ,1:  56848,   3248
11:29:13.29  ,2:  18480,  50626
11:29:13.30  ,1:  51716,  62760
11:29:13.47  ,2:   8400,   1868
11:29:13.48  ,1:  44012,  64800
11:29:13.68  ,2:   8336,   2034
11:29:13.69  ,1:  57456,  64252
11:29:13.89  ,2:  13284,  65004
11:29:13.90  ,1:  58188,  64436
11:29:14.10  ,2:  12432,  65181
11:29:14.11  ,1:  58336,  62968
11:29:14.28  ,2:  13056,  64903
11:29:14.29  ,1:  58864,  61244
11:29:14.49  ,2:  13368,   6687
11:29:14.50  ,1:  62252,   1848
11:29:14.70  ,2:  17748,  48782
11:29:14.71  ,1:  51708,  61616
11:29:14.91  ,2:  12344,   5629
11:29:14.92  ,1:  37460,  57916
11:29:15.09  ,2:    528,   9807
11:29:15.12  ,1:  44116,  64872
11:29:15.30  ,2:  24076,  65283
11:29:15.31  ,1:  59712,  64080
11:29:15.51  ,2:  11152,  65081
11:29:15.52  ,1:  59260,  62880
11:29:15.72  ,2:  13192,  64963
11:29:15.73  ,1:  57728,  64048
11:29:15.93  ,2:   9936,   5662
11:29:15.94  ,1:  64684,   3424
11:29:16.11  ,2:  11412,  51376
11:29:16.12  ,1:  49960,  61076
11:29:16.32  ,2:  13172,   2850
11:29:16.33  ,1:  32888,  56776
11:29:16.53  ,2:  56212,  10721
11:29:16.54  ,1:  62476,  64060
11:29:16.74  ,2:  14920,  63793
11:29:16.75  ,1:  57848,  63932
11:29:16.92  ,2:  13140,  65013
11:29:16.93  ,1:  57064,  63008
11:29:17.15  ,2:  12712,    367
11:29:17.15  ,1:  40212,  62676
11:29:17.34  ,2:  18568,  21353
11:29:17.35  ,1:  56352,   3288
11:29:17.55  ,2:   7472,  54608
11:29:17.56  ,1:  48348,  64036
11:29:17.73  ,2:  13352,   1824
11:29:17.76  ,1:  38176,   4324
11:29:17.94  ,2:  51504,  61233
11:29:17.94  ,1:  59432,  61668
11:29:18.15  ,2:  11528,    274
11:29:18.15  ,1:  58980,  64132
11:29:18.36  ,2:  12468,  64801
11:29:18.37  ,1:  59456,  62852
11:29:18.57  ,2:  13104,   1363
11:29:18.58  ,1:  32768,  59112
11:29:18.75  ,2:  22960,  17880
11:29:18.76  ,1:  57652,   1524
11:29:18.96  ,2:   9076,  57850
11:29:18.97  ,1:  45168,  63804
11:29:19.17  ,2:  15064,   6962
11:29:19.18  ,1:  46064,   4456
11:29:19.38  ,2:   2160,    929
11:29:19.38  ,1:  57744,  63192
11:29:19.56  ,2:  14108,  63611
11:29:19.57  ,1:  58816,  62780
11:29:19.77  ,2:  12804,  64727
11:29:19.78  ,1:  58964,  61184
11:29:19.98  ,2:  12948,    408
11:29:19.99  ,1:  34584,  61720
11:29:20.19  ,2:  21876,  10215
11:29:20.20  ,1:  56080,  64964
11:29:20.37  ,2:   9196,   1594
11:29:20.40  ,1:  47344,  63496
11:29:20.58  ,2:  15516,   1666
11:29:20.59  ,1:  36128,   2852
11:29:20.79  ,2:  54484,  64995
11:29:20.80  ,1:  57936,  61852
11:29:21.00  ,2:  11440,  65444
11:29:21.01  ,1:  60756,  65316
11:29:21.21  ,2:  11784,  65013
11:29:21.22  ,1:  57944,  62656
11:29:21.39  ,2:  13284,  65404
11:29:21.40  ,1:  43452,  61800
11:29:21.60  ,2:  19468,   9481
11:29:21.61  ,1:  55504,  63828
11:29:21.81  ,2:   9812,   3308
11:29:21.82  ,1:  46780,  62912
11:29:22.02  ,2:  16896,   3986
11:29:22.03  ,1:  58332,  57608
11:29:22.20  ,2:   5636,    546
11:29:22.21  ,1:  59776,  63804
11:29:22.41  ,2:  13620,  65060
11:29:22.42  ,1:  58456,  62840
11:29:22.62  ,2:  13100,  65434
11:29:22.63  ,1:  57424,  62120
11:29:22.83  ,2:  12228,   4807
11:29:22.84  ,1:  43364,  63580
11:29:23.01  ,2:  21428,  64655
11:29:23.04  ,1:  56588,    180
11:29:23.22  ,2:   8748,   8093
11:29:23.23  ,1:  46072,  64344
11:29:23.43  ,2:  19020,   2625
11:29:23.44  ,1:  41208,  47372
11:29:23.64  ,2:  13060,  15507
11:29:23.65  ,1:  57624,  63660
11:29:23.85  ,2:  12484,    623
11:29:23.86  ,1:  58504,  64996
11:29:24.03  ,2:  12568,  65362
11:29:24.04  ,1:  57264,  62376
11:29:24.24  ,2:  12948,   2892
11:29:24.25  ,1:  49412,  60416
11:29:24.45  ,2:  24320,  57161
11:29:24.46  ,1:  53716,  59436
11:29:24.66  ,2:  10600,   5601
11:29:24.67  ,1:  49352,  62160
11:29:24.84  ,2:  14548,   4157
11:29:24.84  ,1:  32768,  49716
11:29:25.05  ,2:  32767,  11375
11:29:25.06  ,1:  58564,  64424
11:29:25.26  ,2:  11640,    315
11:29:25.27  ,1:  58824,  63224
11:29:25.47  ,2:  13196,  65407
11:29:25.48  ,1:  56524,  62356
11:29:25.65  ,2:  10804,   5388
11:29:25.68  ,1:    636,   1212
11:29:25.86  ,2:  13804,  50195
11:29:25.87  ,1:  50532,  62368
11:29:26.07  ,2:  12588,  65535
11:29:26.08  ,1:  37900,  60520
11:29:26.28  ,2:   1176,  10220
11:29:26.29  ,1:  61444,    724
11:29:26.49  ,2:  10216,   3026
11:29:26.50  ,1:  61320,  62676
11:29:26.67  ,2:  13140,  65361
11:29:26.68  ,1:  59452,  64344
11:29:26.88  ,2:  13380,  64713
11:29:26.89  ,1:  57952,  63936
11:29:27.09  ,2:  11660,   5305
11:29:27.10  ,1:  65028,   4460
11:29:27.30  ,2:   8684,  55279
11:29:27.31  ,1:  47396,  60456
11:29:27.48  ,2:  14384,   1603
11:29:27.49  ,1:  34476,  56952
11:29:27.69  ,2:  51364,   8712
11:29:27.70  ,1:  52044,  61472
11:29:27.90  ,2:  18108,  62810
11:29:27.91  ,1:  58320,  63168
11:29:28.11  ,2:  12728,  65327
11:29:28.12  ,1:  59764,  64168
11:29:28.29  ,2:  13992,  64541
11:29:28.32  ,1:  50924,   1096
11:29:28.50  ,2:  13548,  12560
11:29:28.51  ,1:  57616,   3456
11:29:28.71  ,2:  10708,  65408
11:29:28.72  ,1:  46788,  64716
11:29:28.92  ,2:  15164,  63542
11:29:28.93  ,1:  40764,   1828
11:29:29.13  ,2:  62552,  65403
11:29:29.14  ,1:  57808,  63052
11:29:29.31  ,2:  14072,  65275
11:29:29.32  ,1:  59368,  63728
11:29:29.52  ,2:  12588,  64946
11:29:29.53  ,1:  59340,  64328
11:29:29.73  ,2:  13632,  64423
11:29:29.74  ,1:  38456,  59364
11:29:29.94  ,2:  26596,  10523
11:29:29.95  ,1:  55448,  65016
11:29:30.12  ,2:   8736,   1428
11:29:30.13  ,1:  49524,  63088
11:29:30.33  ,2:  14688,   5607
11:29:30.34  ,1:  63048,  59536
11:29:30.54  ,2:  11984,  63827
11:29:30.55  ,1:  59056,  62172
11:29:30.75  ,2:  12532,  65168
11:29:30.76  ,1:  58476,  64884
11:29:30.93  ,2:  12568,  64865
11:29:30.96  ,1:  58920,  62664
11:29:31.14  ,2:  13232,   1001
11:29:31.15  ,1:  38536,  62968
11:29:31.35  ,2:  23180,   2336
11:29:31.36  ,1:  59720,  59500
11:29:31.56  ,2:   4632,   5911
11:29:31.57  ,1:  49288,  63568
11:29:31.77  ,2:  17516,  63563
11:29:31.78  ,1:  36020,  53608
11:29:31.95  ,2:  12356,  10334
11:29:31.96  ,1:  58516,  63448
11:29:32.16  ,2:  13408,  65099
11:29:32.17  ,1:  59224,  62172
11:29:32.37  ,2:  12912,  64851
11:29:32.38  ,1:  59548,  61508
11:29:32.58  ,2:  13316,   4711
11:29:32.59  ,1:  32768,  64920
11:29:32.76  ,2:  32767,  62794
11:29:32.77  ,1:  50384,  59592
11:29:32.97  ,2:   7820,   7618
11:29:32.98  ,1:  43952,  63096
11:29:33.18  ,2:  13644,   3152
11:29:33.19  ,1:  45236,  52756
11:29:33.39  ,2:  25512,   6367
11:29:33.39  ,1:  58316,    608
11:29:33.57  ,2:  12312,  64735
11:29:33.60  ,1:  58868,  62804
11:29:33.78  ,2:  14020,  65312
11:29:33.79  ,1:  55216,  62788
11:29:33.99  ,2:  12404,   6343
11:29:34.00  ,1:   1128,   5148
11:29:34.20  ,2:  11140,  40801
11:29:34.21  ,1:  52036,  62116
11:29:34.41  ,2:   9940,   3891
11:29:34.42  ,1:  41380,  63608
11:29:34.59  ,2:   6108,   6297
11:29:34.60  ,1:  61740,   7204
11:29:34.80  ,2:  13060,   4396
11:29:34.81  ,1:  58392,  63568
11:29:35.01  ,2:  12788,  65243
11:29:35.02  ,1:  59484,  63476
11:29:35.22  ,2:  12888,    195
11:29:35.23  ,1:  63104,  63660
