03:45:42.57  ,1:  44540,   5800
03:45:42.75  ,2:   8348,   4254
03:45:42.75  ,1:   2020,   5860
03:45:42.96  ,2:   6576,   7116
03:45:42.96  ,1:  55372,  63764
03:45:43.17  ,2:   9552,    410
03:45:43.17  ,1:  54940,  63800
03:45:43.38  ,2:   9104,  65105
03:45:43.38  ,1:  54140,  62300
03:45:43.56  ,2:   8844,  63796
03:45:43.59  ,1:  44016,  54856
03:45:43.77  ,2:   9268,  60714
03:45:43.77  ,1:  59380,   6504
03:45:43.98  ,2:    240,  10847
03:45:43.98  ,1:  40748,  11424
03:45:44.19  ,2:   7404,   9085
03:45:44.19  ,1:  13000,  46636
03:45:44.40  ,2:  21600,  18043
03:45:44.40  ,1:  55176,  64608
03:45:44.58  ,2:   9348,    476
03:45:44.58  ,1:  54512,  63888
03:45:44.79  ,2:   8864,     14
03:45:44.79  ,1:  54688,  63916
03:45:45.00  ,2:   8852,    361
03:45:45.00  ,1:  49088,  61160
03:45:45.21  ,2:  10232,  61083
03:45:45.21  ,1:  52040,  63548
03:45:45.39  ,2:   1752,  63182
03:45:45.39  ,1:  35308,   9412
03:45:45.60  ,2:  11708,   6715
03:45:45.60  ,1:  47232,  13392
03:45:45.81  ,2:  11436,   3830
03:45:45.81  ,1:  54844,  63696
03:45:46.02  ,2:   9472,  64901
03:45:46.02  ,1:  55376,  63216
03:45:46.20  ,2:   9400,  65528
03:45:46.20  ,1:  54792,  62844
03:45:46.41  ,2:   9724,  64370
03:45:46.41  ,1:  54624,  64136
03:45:46.62  ,2:   7076,  13342
03:45:46.62  ,1:  57912,  10736
03:45:46.83  ,2:  61016,  62309
03:45:46.83  ,1:  35976,  12736
03:45:47.01  ,2:  58160,  28681
03:45:47.04  ,1:  55144,  65224
03:45:47.22  ,2:   9136,   1959
03:45:47.22  ,1:  54936,  63484
03:45:47.43  ,2:   9232,  65474
03:45:47.43  ,1:  55388,  63904
03:45:47.64  ,2:   9240,  65239
03:45:47.64  ,1:  55604,  64068
03:45:47.85  ,2:  11732,  61880
03:45:47.85  ,1:  50588,  54488
03:45:48.03  ,2:  13184,   8055
03:45:48.03  ,1:  41772,   6240
03:45:48.24  ,2:   4568,   7854
03:45:48.24  ,1:  39292,  32768
03:45:48.45  ,2:   8116,    875
03:45:48.45  ,1:  54336,  64044
03:45:48.66  ,2:   9196,    480
03:45:48.66  ,1:  54796,  63508
03:45:48.84  ,2:   8756,    400
03:45:48.84  ,1:  54712,  63068
03:45:49.05  ,2:   9404,    667
03:45:49.05  ,1:  41056,  55960
03:45:49.26  ,2:  11572,   3849
03:45:49.26  ,1:  53676,  65120
03:45:49.47  ,2:   6680,    560
03:45:49.47  ,1:  38020,  17744
03:45:49.65  ,2:   3636,  11597
03:45:49.68  ,1:  55296,  64012
03:45:49.86  ,2:   9268,   2032
03:45:49.86  ,1:  55128,  64436
03:45:50.07  ,2:   9384,  65382
03:45:50.07  ,1:  54388,  63816
03:45:50.28  ,2:   8948,    437
03:45:50.28  ,1:  54988,  64608
03:45:50.49  ,2:   9948,  64438
03:45:50.49  ,1:    148,  63652
03:45:50.67  ,2:  63980,   7161
03:45:50.67  ,1:  50356,   9448
03:45:50.88  ,2:   5256,   1166
03:45:50.88  ,1:  41308,   6440
03:45:51.09  ,2:  47452,  20749
03:45:51.09  ,1:  55032,  62572
03:45:51.30  ,2:   9260,   1949
03:45:51.30  ,1:  55264,  62972
03:45:51.48  ,2:   9260,  64995
03:45:51.48  ,1:  55240,  62876
03:45:51.69  ,2:   9124,    403
03:45:51.72  ,1:  54784,  64776
03:45:51.90  ,2:   9488,  63945
03:45:51.90  ,1:  63776,  60164
03:45:52.11  ,2:   4220,  11160
03:45:52.11  ,1:  43128,  10072
03:45:52.29  ,2:   8800,  63816
03:45:52.32  ,1:  35024,  61912
03:45:52.50  ,2:   6556,   9364
03:45:52.50  ,1:  55064,  65108
03:45:52.71  ,2:   9572,    131
03:45:52.71  ,1:  54504,  64012
03:45:52.92  ,2:   8764,     26
03:45:52.92  ,1:  54028,  64004
03:45:53.13  ,2:   8676,  64985
03:45:53.13  ,1:  43192,    844
03:45:53.31  ,2:   7616,   6927
03:45:53.31  ,1:  53084,   4820
03:45:53.52  ,2:   2128,   4774
03:45:53.52  ,1:  42228,  17056
03:45:53.73  ,2:  61568,  27741
03:45:53.73  ,1:  52580,  60760
03:45:53.94  ,2:   7704,   1279
03:45:53.94  ,1:  54772,  63228
03:45:54.12  ,2:   8764,  64881
03:45:54.12  ,1:  55256,  63936
03:45:54.33  ,2:   8104,    510
03:45:54.33  ,1:  54952,  62792
